Rank	Score	Time Penalty	Team Name	Team Members
8	5	393	RamKaniyur	Ram Kaniyur, Tom Nguyen, Sidney Pham
9	5	762	3HeadsNoIQ	Julian Tu, Dallas Yan, Chen Zhou
