Rank	Score	Time Penalty	Team Name	Team Members
1	10	1625	YujiOHappyBot	Joshua Lau, Kevin Tran, Yujin Wu
2	9	1337	KLE in bottle	
10	4	670	Accepted	
11	4	778	Quasi-iced Sheep	
12	3	301	Hamishdurkin	
14	3	489	UNSW Dancers	
18	2	301	ADJile	
19	2	359	><">	
24	1	309	Carbannedioxide	
