Rank	Score	Time Penalty	Team Name	Team Members
1	12	1033	AbishforesT	Oliver Fisher, Ishraq Huda, Ray Li
2	10	1493	top kek	Declan McDonnell, James O'Brien, Clement Hok Wo Chiu
3	6	811	FortyNine	
6	5	625	UNSWift	
13	3	223	2Pusheens1Bun	
14	3	236	UNSW31415	
19	3	406	R++	
23	2	234	Time Limit Exceeded TLE	
28	1	134	UNSW2	
