Rank	Score	Time Penalty	Team Name	Team Members
1	7	872	UNSW1	Steven Fan, Casey Roberts, Raveen de Silva
2	6	633	Ig(k)	
6	4	517	potato++	
9	4	604	</table>	
16	3	215	I have no clue	
25	3	444	ThereIsNoCake!	
33	3	625	Pizza	
36	2	66	Zombo	
43	2	120	Carb Anne Di Oxide	
63	2	248	Triangles	
78	2	491	O(tea)	
84	1	101	FountainHooks	
