Rank	Score	Time Penalty	Team Name	Team Members
1	11	1175	FJCVTZS	Adrian Goldwaser, Declan McDonnell, Austin Tanklang
11	5	643	CSE++	Jake Abrahams, Lumina Gajanayake, Tianyi Zheng
