Rank	Score	Time Penalty	Team Name	Team Members
1	13	654	fupoeefanfan	Zhaoyi Hao, Yutong Ji, Yibing Xu
4	8	810	stay awake div2	Zhizhou Ma
7	8	1369	Trained Monkeys div2	
13	7	1456	Not a coder	
18	6	748	R&R	
26	6	1177	0xC00000FD div2	
33	4	560	Impostors	
42	1	54	Peaches and Cream	
