Rank	Score	Time Penalty	Team Name	Team Members
1	11	1772	TLE on test case 2020	Pengsen Mao, Angus Ritossa, Timmy Yao
2	10	1674	ONLY_FEEDBACK_IS_WA	Yifan He, Tsz Wa Lu, Tianyi Zheng
3	9	1321	3Heads3IQ	Laeeque Jamdar, Ram Kaniyur, Dallas Yan
6	7	1209	Optimal Brain Damage	Nathan Lee, Jeffrey Yang, Kevin Zhu
15	4	680	Pizza Not Found	
