Rank	Score	Time Penalty	Team Name	Team Members
1	8	745	TheNorthernLine	Daaren Chiu, Joshua Lau, Austin Tankiang
2	7	845	UNSWsmartypants	
4	7	1284	Load Data Memory	
12	3	484	Bubble	
16	2	278	Hack it	
