Rank	Score	Time Penalty	Team Name	Team Members
1	10	1262	AbishforesT	Oliver Fisher, Ishraq Huda, Ray Li
2	8	1260	top kek	Declan McDonnell, James O'Brien, Clement Hok Wo Chiu
